Series,Issue,"Full Title",Genre,"Variant Description",Publisher,"Cover Date","Storage Box","Release Date","Release Year","Story Arc",Subtitle,Title,Variant,"Cover Price",Key,"Key Category","Key Reason",Barcode,"Cover Year",Artist,Characters,Colorist,"Cover Artist","Cover Colorist","Cover Inker","Cover Painter","Cover Penciller","Cover Separator",Creators,Editor,"Editor in Chief",Inker,Layouts,Letterer,Painter,Penciller,Plotter,Scripter,Separator,Translator,Writer
"The Amazing Spider-Man, Vol. 1",122A,"The Goblin's Last Stand!","Action | Adventure | Super-Heroes",,"Marvel Comics","Jul 1973",,"Jul 1973",1973,,,"The Goblin's Last Stand!",A,,No,,,,1973,,"Spider-Man (Peter Parker) | J. Jonah Jameson Jr. | Joseph 'Robbie' Robertson","Dave Hunt","John Romita Sr.",,,,,,"Gerry Conway | Gil Kane | Tony Mortellaro","Roy Thomas","Roy Thomas","Tony Mortellaro | John Romita Sr.",,"Artie Simek",,"Gil Kane",,,,,"Gerry Conway"
"The Amazing Spider-Man, Vol. 1",136,"The Green Goblin Lives Again!","Action | Adventure | Super-Heroes",,"Marvel Comics","Sep 1974",TEMP,"Aug 31, 1974",1974,,,"The Green Goblin Lives Again!",,0.25,No,,,,1974,,"Spider-Man (Peter Parker) | Mary Jane Watson | Elizabeth 'Betty' Brant","Linda Lessmann","John Romita Sr.",,,,,,"Gerry Conway | Ross Andru | Dave Hunt","Roy Thomas","Len Wein","Dave Hunt | Frank Giacoia",,"Artie Simek",,"Ross Andru",,,,,"Gerry Conway"
"The Amazing Spider-Man, Vol. 1",155,Whodunit?!,"Action | Adventure | Super-Heroes","1st Printing","Marvel Comics","Apr 1976",L01,"Apr 1976",1976,,,Whodunit?!,,0.25,No,,,,1976,,"Spider-Man (Peter Parker) | J. Jonah Jameson Jr. | Robbie Robertson (Joseph 'Robbie' Robertson)","Glynis Oliver | Glynis Oliver-Wein","John Romita Sr.",,,,,,"Len Wein | Sal Buscema | Dave Hunt","Len Wein",,"Dave Hunt | Mike Esposito",,"Irv Watanabe",,"Sal Buscema",,,,,"Len Wein"
"The Amazing Spider-Man, Vol. 1",163,"All the Kingpin's Men!","Action | Adventure | Super-Heroes","1st Printing","Marvel Comics","Dec 1976",L01,"Dec 1976",1976,,,"All the Kingpin's Men!",,,No,,,,1976,,"Spider-Man (Peter Parker) | Mary Jane Watson-Parker | Joseph 'Robbie' Robertson","Glynis Oliver | Glynis Oliver-Wein",,,"John Romita Sr.",,"Dave Cockrum",,"Len Wein | Ross Andru | Dave Hunt","Len Wein",,"Dave Hunt | Mike Esposito",,"Joe Rosen",,"Ross Andru",,,,,"Len Wein"
"The Amazing Spider-Man, Vol. 1",176,"He Who Laughs Last...!","Action | Adventure | Super-Heroes",,"Marvel Comics","Jan 1978",,"Jan 1978",1978,,,"He Who Laughs Last...!",,,No,,,,1978,,"Spider-Man (Peter Parker) | May Parker | Eugene 'Flash' Thompson","Glynis Oliver | Glynis Oliver-Wein",,,"Frank Giacoia",,"Ross Andru",,"Len Wein | Ross Andru | Jim Mooney","Len Wein",,"Jim Mooney | Tony DeZuniga",,"Joe Rosen",,"Ross Andru",,,,,"Len Wein"
"The Amazing Spider-Man, Vol. 1",177,"Goblin in the Middle!","Action | Adventure | Super-Heroes",,"Marvel Comics","Feb 1978",,"Feb 1978",1978,,,"Goblin in the Middle!",,,No,,,,1978,,"Spider-Man (Peter Parker) | May Parker | Eugene 'Flash' Thompson","Glynis Oliver | Glynis Oliver-Wein",,,"Joe Sinnott",,"Ross Andru",,"Len Wein | Ross Andru | Mike Esposito","Len Wein",,"Mike Esposito",,"John Costanza",,"Ross Andru",,,,,"Len Wein"
"The Amazing Spider-Man, Vol. 1",178,"Green Grows the Goblin!","Action | Adventure | Super-Heroes",,"Marvel Comics","Mar 1978",,"Mar 1978",1978,,,"Green Grows the Goblin!",,,No,,,0714860245703,1978,,"Spider-Man (Peter Parker) | Mary Jane Watson-Parker | May Parker","Glynis Oliver | Glynis Oliver-Wein",,,"Joe Sinnott",,"Ross Andru",,"Len Wein | Ross Andru | Jim Mooney","Len Wein",,"Jim Mooney",,"Joe Rosen",,"Ross Andru",,,,,"Len Wein"
"The Amazing Spider-Man, Vol. 1",179,"The Goblin's Always Greener...!","Action | Adventure | Super-Heroes",,"Marvel Comics","Apr 1978",,"Apr 1978",1978,,,"The Goblin's Always Greener...!",,,No,,,,1978,,"Spider-Man (Peter Parker) | May Parker | Joseph 'Robbie' Robertson","Glynis Oliver | Glynis Oliver-Wein",,,"Mike Esposito",,"Ross Andru",,"Len Wein | Ross Andru | Mike Esposito","Len Wein","Archie Goodwin","Mike Esposito",,"John Costanza",,"Ross Andru",,,,,"Len Wein"
"The Amazing Spider-Man, Vol. 1",180,"Who Was That Goblin I Saw You With?","Action | Adventure | Super-Heroes",,"Marvel Comics","May 1978",,"May 1978",1978,,,"Who Was That Goblin I Saw You With?",,,No,,,0714860245705,1978,,"Spider-Man (Peter Parker) | Green Goblin (Norman Osborn) | J. Jonah Jameson","Glynis Oliver | Glynis Oliver-Wein",,,"Mike Esposito",,"Ross Andru",,"Len Wein | Ross Andru | Mike Esposito","Len Wein",,"Mike Esposito",,"Joe Rosen",,"Ross Andru",,,,,"Len Wein"
"The Amazing Spider-Man, Vol. 1",181,Flashback!,"Action | Adventure | Super-Heroes","1st Printing","Marvel Comics","Jun 1978",L01,"Jun 1978",1978,,,Flashback!,,,No,,,,1978,,"Spider-Man (Peter Parker) | May Parker","Glynis Oliver | Glynis Oliver-Wein",,,"Frank Giacoia",,"Gil Kane",,"Bill Mantlo | Sal Buscema | Mike Esposito","Marv Wolfman","Jim Shooter","Mike Esposito",,"Annette Kawecki",,"Sal Buscema",,,,,"Bill Mantlo"
"The Amazing Spider-Man, Vol. 1",206,"A Method To His Madness!","Action | Adventure | Super-Heroes","1st Printing","Marvel Comics","Jul 1980",L01,"Jul 1980",1980,,,"A Method To His Madness!",,,No,,,,1980,,"Spider-Man (Peter Parker) | J. Jonah Jameson Jr. | Joseph 'Robbie' Robertson","George Roussos","Al Milgrom",,,,,,"Roger Stern | John Byrne | Gene Day","Dennis O'Neil","Jim Shooter","Gene Day",,"Diana Albers",,"John Byrne",,,,,"Roger Stern"
"The Amazing Spider-Man, Vol. 1",210,"The Prophecy of Madame Web!","Action | Adventure | Super-Heroes",,"Marvel Comics","Nov 1980","BC RAW 02","Nov 1980",1980,,,"The Prophecy of Madame Web!",,0.50,No,,,,1980,,"Spider-Man (Peter Parker) | J. Jonah Jameson Jr. | Madame Web (Cassandra Webb)","Bob Sharen",,,"Al Milgrom",,"John Romita Jr.",,"Dennis O'Neil | John Romita Jr. | Joe Sinnott","Al Milgrom","Jim Shooter","Joe Sinnott",,"Jim Novak",,"John Romita Jr.",,,,,"Dennis O'Neil"
"The Amazing Spider-Man, Vol. 1",238,"Shadow of Evils Past!","Action | Adventure | Super-Heroes","1st Printing","Marvel Comics","Mar 1983","BC GRADED 01","Feb 28, 1983",1983,,,"Shadow of Evils Past!",,0.60,No,,,,1983,,"Spider-Man (Peter Parker) | May Parker | Joseph 'Robbie' Robertson","Andy Yanchus",,,"John Romita Sr.",,"John Romita Jr.",,"Roger Stern | John Romita Jr. | John Romita Sr.","Tom DeFalco","Jim Shooter","John Romita Sr.",,"Joe Rosen",,"John Romita Jr.",,,,,"Roger Stern"
"The Amazing Spider-Man, Vol. 1",246,"The Daydreamers","Action | Adventure | Super-Heroes","1st Printing","Marvel Comics","Nov 1983",L01,"Nov 1983",1983,,,"The Daydreamers",,,No,,,,1983,,"Spider-Man (Peter Parker) | J. Jonah Jameson Jr. | Black Cat (Felicia Hardy)","Bob Sharen",,,"Dan Green",,"John Romita Jr.",,"Roger Stern | John Romita Jr. | Dan Green","Danny Fingeroth | Tom DeFalco","Jim Shooter","Dan Green",,"Joe Rosen",,"John Romita Jr.",,,,,"Roger Stern"
"The Amazing Spider-Man, Vol. 1",249,Secrets!,"Action | Adventure | Super-Heroes","1st Printing","Marvel Comics","Feb 1983",L01,"Feb 1984",1984,,,Secrets!,,,No,,,0714860245702,1983,,"Spider-Man (Peter Parker) | J. Jonah Jameson Jr. | Mary Jane Watson-Parker","Bob Sharen","John Byrne","Bob Sharen","Dan Green",,,,"Roger Stern | John Romita Jr. | Dan Green","Danny Fingeroth","Jim Shooter","Dan Green",,"Joe Rosen",,"John Romita Jr.",,,,,"Roger Stern"
"The Amazing Spider-Man, Vol. 1",250,Confessions!,"Action | Adventure | Super-Heroes","1st Printing","Marvel Comics","Mar 1984",L01,"Mar 1984",1984,,,Confessions!,,,No,,,,1984,,"Spider-Man (Peter Parker) | J. Jonah Jameson Jr. | Harry Osborn","Christie Scheele",,"Christie Scheele","Klaus Janson",,"John Romita Jr.",,"Roger Stern | John Romita Jr. | Klaus Janson","Danny Fingeroth","Jim Shooter","Klaus Janson",,"Joe Rosen",,"John Romita Jr.",,,,,"Roger Stern"
"The Amazing Spider-Man, Vol. 1",251,Endings!,"Action | Adventure | Super-Heroes","1st Printing","Marvel Comics","Apr 1984",L01,"Apr 1984",1984,,,Endings!,,,No,,,,1984,,"Spider-Man (Peter Parker) | J. Jonah Jameson Jr. | Joseph 'Robbie' Robertson","Christie Scheele",,,"Klaus Janson",,"Ed Hannigan",,"Ron Frenz | Klaus Janson","Danny Fingeroth","Jim Shooter","Klaus Janson",,"Joe Rosen",,"Ron Frenz","Roger Stern","Tom DeFalco",,,
"The Amazing Spider-Man, Vol. 1",252A,Homecoming!,"Action | Adventure | Super-Heroes","1st Printing","Marvel Comics","May 1984","BC GRADED 01","May 1984",1984,,,Homecoming!,A,,No,,,,1984,,"Spider-Man (Peter Parker) | Captain America (Steve Rogers) | Hawkeye (Clint Barton)","Glynis Oliver | Glynis Oliver-Wein",,,"Klaus Janson",,"Ron Frenz",,"Ron Frenz | Brett Breeding","Danny Fingeroth","Jim Shooter","Brett Breeding",,"Joe Rosen",,"Ron Frenz","Roger Stern","Tom DeFalco",,,
"The Amazing Spider-Man, Vol. 1",252A,Homecoming!,"Action | Adventure | Super-Heroes","1st Printing","Marvel Comics","May 1984","BC RAW 02","May 1984",1984,,,Homecoming!,A,,No,,,,1984,,,,,,,,,,,,,,,,,,,,,,
"The Amazing Spider-Man, Vol. 1",257,"""Beware the Claws of Puma!""","Action | Adventure | Super-Heroes",,"Marvel Comics","Oct 1984",,"Oct 1984",1984,,,"""Beware the Claws of Puma!""",,,No,,,,1984,,"Spider-Man (Peter Parker) | Kingpin (Wilson Fisk) | Black Cat (Felicia Hardy)","Christie Scheele",,,"Joe Rubinstein",,"Ron Frenz",,"Tom DeFalco | Ron Frenz | Joe Rubinstein","Danny Fingeroth","Jim Shooter","Joe Rubinstein",,"Joe Rosen",,"Ron Frenz",,,,,"Tom DeFalco"
"The Amazing Spider-Man, Vol. 1",259,"All My Pasts Remembered!","Action | Adventure | Super-Heroes",,"Marvel Comics","Dec 1984",,"Dec 1984",1984,,,"All My Pasts Remembered!",,,No,,,,1984,,"Spider-Man (Peter Parker) | She-Hulk (Jennifer Walters) | Mary Jane Watson","Bob Sharen",,,"Joe Rubinstein",,"Ron Frenz",,"Tom DeFalco | Ron Frenz | Joe Rubinstein","Danny Fingeroth","Jim Shooter | C.B. Cebulski","Joe Rubinstein",,"Joe Rosen",,"Ron Frenz",,,,,"Tom DeFalco"
"The Amazing Spider-Man, Vol. 1",260,"""The Challenge of Hobgoblin!""","Action | Adventure | Super-Heroes","1st Printing","Marvel Comics","Jan 1985",L01,"Jan 1985",1985,,,"""The Challenge of Hobgoblin!""",,,No,,,,1985,"Ron Frenz","Spider-Man (Peter Parker) | Invisible Woman (Susan Storm Richards) | J. Jonah Jameson Jr.","Bob Sharen",,,"Joe Rubinstein",,"Ron Frenz",,"Tom DeFalco | Ron Frenz | Brett Breeding","Danny Fingeroth","Jim Shooter | C.B. Cebulski","Brett Breeding | Joe Rubinstein",,"Joe Rosen",,"Ron Frenz",,,,,"Tom DeFalco"
"The Amazing Spider-Man, Vol. 1",266,"Jump For My Love Or Spring Is In The Air","Action | Adventure | Super-Heroes","1st Printing","Marvel Comics","Jul 1985",L01,"Jul 1985",1985,,,"Jump For My Love Or Spring Is In The Air",,,No,,,,1985,,"Spider-Man (Peter Parker) | Black Cat (Felicia Hardy) | Toad (Mortimer Toynbee)","Nel Yomtov | Glynis Oliver",,"Glynis Oliver","Joe Rubinstein",,"Denys B. Cowan",,"Peter David | Sal Buscema | Joe Rubinstein","James C. Owsley (Christopher Priest)","Jim Shooter","Joe Rubinstein",,"Rick Parker",,"Sal Buscema",,,,,"Peter David"
"The Amazing Spider-Man, Vol. 1",293,"Kraven's Last Hunt - Part 2: Crawling","Action | Adventure | Super-Heroes",,"Marvel Comics","Oct 1987",L01,"Jun 30, 1987",1987,,,"Part 2: Crawling",,0.75,No,,,071486024576,1987,,"Spider-Man (Peter Parker) | Mary Jane Watson | Vermin (Edward Whelan)","Janet Jackson",,,"Bob McLeod",,"Mike Zeck",,"J.M. DeMatteis | Mike Zeck | Bob McLeod","Jim Salicrup","Jim Shooter","Bob McLeod",,"Rick Parker",,"Mike Zeck",,,,,"J.M. DeMatteis"
"The Amazing Spider-Man, Vol. 1",298,"Chance Encounter!","Action | Adventure | Super-Heroes","1st Printing","Marvel Comics","Mar 1988","BC GRADED 01","Mar 1988",1988,,,"Chance Encounter!",,0.75,No,,,,1988,,"Spider-Man (Peter Parker) | Mary Jane Watson-Parker | Joseph 'Robbie' Robertson","Janet Jackson","Todd McFarlane",,,,,,"David Michelinie | Todd McFarlane | Bob McLeod","Jim Salicrup","Tom DeFalco","Bob McLeod",,"Ken Lopez | Rick Parker",,"Todd McFarlane",,,,,"David Michelinie"
"The Amazing Spider-Man, Vol. 1",298,"Chance Encounter!","Action | Adventure | Super-Heroes","1st Printing","Marvel Comics","Mar 1988","BC GRADED 01","Mar 1988",1988,,,"Chance Encounter!",,0.75,No,,,,1988,,,,,,,,,,,,,,,,,,,,,,
"The Amazing Spider-Man, Vol. 1",299,"Survival Of The Hittist!","Action | Adventure | Super-Heroes","1st Printing","Marvel Comics","Apr 1988","BC GRADED 01","Apr 1988",1988,,,"Survival Of The Hittist!",,,No,,,,1988,,"Spider-Man (Peter Parker) | Mary Jane Watson-Parker | Joseph 'Robbie' Robertson","Bob Sharen","Todd McFarlane",,,,,,"David Michelinie | Todd McFarlane | Bob McLeod","Jim Salicrup","Tom DeFalco","Bob McLeod",,"Rick Parker",,"Todd McFarlane",,,,,"David Michelinie"
"The Amazing Spider-Man, Vol. 1",300A,"Spider-Man Vs Venom","Action | Adventure | Super-Heroes","1st Printing","Marvel Comics","May 1988","BC GRADED 02","Jan 12, 1988",1988,,,"Spider-Man Vs Venom",A,1.50,No,,,07148602457605,1988,"Todd McFarlane","Spider-Man (Peter Parker) | The Thing (Benjamin J. Grimm) | Mary Jane Watson-Parker","Bob Sharen","Todd McFarlane",,,,,,"David Michelinie | Todd McFarlane","Jim Salicrup","Tom DeFalco",,,"Rick Parker",,,,,,,"David Michelinie"
"The Amazing Spider-Man, Vol. 1",302,"(Mid) American Gothic","Action | Adventure | Super-Heroes","1st Printing","Marvel Comics","Jul 1988",L01,"Jul 1988",1988,,,"(Mid) American Gothic",,,No,,,,1988,"Todd McFarlane","Spider-Man (Peter Parker) | Mary Jane Watson-Parker | Sandman (William 'Flint Marko' Baker)","Gregory Wright","Todd McFarlane",,,,,,"David Michelinie | Todd McFarlane","Jim Salicrup","Tom DeFalco",,,"Rick Parker",,,,,,,"David Michelinie"
"The Amazing Spider-Man, Vol. 1",303,"Dock Savage","Action | Adventure | Super-Heroes","1st Printing","Marvel Comics","Aug 1988",L01,"Aug 1988",1988,,,"Dock Savage",,,No,,,,1988,"Todd McFarlane","Spider-Man (Peter Parker) | J. Jonah Jameson Jr. | Mary Jane Watson-Parker","Bob Sharen","Todd McFarlane",,,,,,"David Michelinie | Todd McFarlane","Jim Salicrup","Tom DeFalco",,,"Rick Parker",,,,,,,"David Michelinie"
"The Amazing Spider-Man, Vol. 1",304,"California Schemin'!","Action | Adventure | Super-Heroes","1st Printing","Marvel Comics","Sep 1988",L01,"Sep 1988",1988,,,"California Schemin'!",,,No,,,,1988,,"Spider-Man (Peter Parker) | J. Jonah Jameson Jr. | Mary Jane Watson-Parker","Bob Sharen","Todd McFarlane",,,,,,"David Michelinie | Todd McFarlane | Joe Rubinstein","Jim Salicrup","Tom DeFalco","Joe Rubinstein",,"Rick Parker",,"Todd McFarlane",,,,,"David Michelinie"
"The Amazing Spider-Man, Vol. 1",305,"Westward Woe!","Action | Adventure | Super-Heroes","1st Printing","Marvel Comics","Sep 1988",L01,"Sep 1988",1988,,,"Westward Woe!",,,No,,,,1988,,"Spider-Man (Peter Parker) | Mary Jane Watson-Parker | Prowler (Hobie Brown)","Gregory Wright","Todd McFarlane",,,,,,"David Michelinie | Todd McFarlane | Chris Ivy","Jim Salicrup","Tom DeFalco","Chris Ivy | Hector Collazo | Mark McKenna | Pat Redding | Rodney Ramos | Joe Rubinstein",,"Rick Parker",,"Todd McFarlane",,,,,"David Michelinie"
"The Amazing Spider-Man, Vol. 1",307,"""The Thief Who Stole Himself!""","Action | Adventure | Super-Heroes","1st Printing","Marvel Comics","Oct 1988",L01,"Oct 1988",1988,,,"""The Thief Who Stole Himself!""",,,No,,,,1988,"Todd McFarlane","Spider-Man (Peter Parker) | Mary Jane Watson-Parker | Chameleon (Dmitri 'Kravinoff' Smerdyakov)","Bob Sharen","Todd McFarlane",,,,,,"David Michelinie | Todd McFarlane","Jim Salicrup","Tom DeFalco",,,"Rick Parker",,,,,,,"David Michelinie"
"The Amazing Spider-Man, Vol. 1",308,Dread,"Action | Adventure | Super-Heroes","1st Printing","Marvel Comics","Nov 1988",L01,"Nov 1988",1988,,,Dread,,,No,,,,1988,"Todd McFarlane","Spider-Man (Peter Parker) | Mary Jane Watson-Parker | May Parker","Bob Sharen","Todd McFarlane",,,,,,"David Michelinie | Todd McFarlane","Jim Salicrup","Tom DeFalco",,,"Rick Parker",,,,,,,"David Michelinie"
"The Amazing Spider-Man, Vol. 1",309,"Styx and Stone","Action | Adventure | Super-Heroes","1st Printing","Marvel Comics","Nov 1988",L01,"Nov 1988",1988,,,"Styx and Stone",,1.00,No,,,,1988,"Todd McFarlane","Spider-Man (Peter Parker) | J. Jonah Jameson Jr. | Mary Jane Watson-Parker","Bob Sharen","Todd McFarlane",,,,,,"David Michelinie | Todd McFarlane","Jim Salicrup","Tom DeFalco",,,"Rick Parker",,,,,,,"David Michelinie"
"The Amazing Spider-Man, Vol. 1",310,"Shrike Force","Action | Adventure | Super-Heroes","1st Printing","Marvel Comics","Dec 1988",L01,"Dec 1988",1988,,,"Shrike Force",,1.00,No,,,07148602457615,1988,,"Spider-Man (Peter Parker) | Mary Jane Watson-Parker | Tinkerer (Phineas Mason)","Janice Cohen","Todd McFarlane",,,,,,"David Michelinie | Todd McFarlane | Terry Fitzgerald","Jim Salicrup","Tom DeFalco","Todd McFarlane | Terry Fitzgerald",,"Rick Parker",,"Todd McFarlane",,,,,"David Michelinie"
"The Amazing Spider-Man, Vol. 1",311,"Inferno - Mysteries of the Dead","Action | Adventure | Super-Heroes","1st Printing","Marvel Comics","Jan 1989",L01,"Jan 1989",1989,,,"Mysteries of the Dead",,,No,,,,1989,"Todd McFarlane","Spider-Man (Peter Parker) | Mary Jane Watson-Parker | Harry Osborn","Evelyn Stein | Bob Sharen","Todd McFarlane",,,,,,"David Michelinie | Todd McFarlane","Jim Salicrup","Tom DeFalco",,,"Rick Parker",,,,,,,"David Michelinie"
"The Amazing Spider-Man, Vol. 1",312,"Inferno - The Goblin War","Action | Adventure | Super-Heroes","1st Printing","Marvel Comics","Feb 1989",L01,"Feb 1989",1989,,,"The Goblin War",,,No,,,0714860245702,1989,"Todd McFarlane","Spider-Man (Peter Parker) | J. Jonah Jameson Jr. | Mary Jane Watson-Parker","Bob Sharen","Todd McFarlane",,,,,,"David Michelinie | Todd McFarlane","Jim Salicrup","Tom DeFalco",,,"Rick Parker",,,,,,,"David Michelinie"
"The Amazing Spider-Man, Vol. 1",314,"Down and Out in Forest Hills","Action | Adventure | Super-Heroes","1st Printing","Marvel Comics","Apr 1989",L01,"Apr 1989",1989,,,"Down and Out in Forest Hills",,,No,,,,1989,"Todd McFarlane","Spider-Man (Peter Parker) | J. Jonah Jameson Jr. | Mary Jane Watson-Parker","Bob Sharen","Todd McFarlane",,,,,,"David Michelinie | Todd McFarlane","Jim Salicrup","Tom DeFalco",,,"Rick Parker",,,,,,,"David Michelinie"
"The Amazing Spider-Man, Vol. 1",315,"A Matter of Life and Debt","Action | Adventure | Super-Heroes","1st Printing","Marvel Comics","May 1989",L01,"May 1989",1989,,,"A Matter of Life and Debt",,,No,,,07148602457605,1989,"Todd McFarlane","Spider-Man (Peter Parker) | Mary Jane Watson-Parker | May Parker","Bob Sharen","Todd McFarlane",,,,,,"David Michelinie | Todd McFarlane","Jim Salicrup","Tom DeFalco",,,"Rick Parker",,,,,,,"David Michelinie"
"The Amazing Spider-Man, Vol. 1",315,"A Matter of Life and Debt","Action | Adventure | Super-Heroes","1st Printing","Marvel Comics","May 1989","BC RAW 02","May 1989",1989,,,"A Matter of Life and Debt",,,No,,,07148602457605,1989,,,,,,,,,,,,,,,,,,,,,,
"The Amazing Spider-Man, Vol. 1",316,"Dead Meat","Action | Adventure | Super-Heroes","1st Printing","Marvel Comics","Jun 1989","BC RAW 02","Jun 1989",1989,,,"Dead Meat",,,No,,,,1989,"Todd McFarlane","Spider-Man (Peter Parker) | Mary Jane Watson-Parker | May Parker","Bob Sharen","Todd McFarlane",,,,,,"David Michelinie | Todd McFarlane","Jim Salicrup","Tom DeFalco",,,"Rick Parker",,,,,,,"David Michelinie"
"The Amazing Spider-Man, Vol. 1",317,"The Sand and the Fury","Action | Adventure | Super-Heroes","1st Printing","Marvel Comics","Jul 1989",L01,"Jul 1989",1989,,,"The Sand and the Fury",,1.00,No,,,,1989,"Todd McFarlane","Spider-Man (Peter Parker) | The Thing (Benjamin J. Grimm) | Mary Jane Watson-Parker","Bob Sharen","Todd McFarlane",,,,,,"David Michelinie | Todd McFarlane","Jim Salicrup","Tom DeFalco",,,"Rick Parker",,,,,,,"David Michelinie"
"The Amazing Spider-Man, Vol. 1",318,"Sting Your Partner","Action | Adventure | Super-Heroes","1st Printing","Marvel Comics","Aug 1989",L01,"Aug 1989",1989,,,"Sting Your Partner",,,No,,,,1989,"Todd McFarlane","Spider-Man (Peter Parker) | J. Jonah Jameson Jr. | Mary Jane Watson-Parker","Gregory Wright | Bob Sharen","Todd McFarlane",,,,,,"David Michelinie | Todd McFarlane","Jim Salicrup","Tom DeFalco",,,"Rick Parker",,,,,,,"David Michelinie"
"The Amazing Spider-Man, Vol. 1",319,"The Scorpion's Tail of Woe","Action | Adventure | Super-Heroes","1st Printing","Marvel Comics","Sep 1989",L01,"Sep 1989",1989,,,"The Scorpion's Tail of Woe",,,No,,,,1989,"Todd McFarlane","Spider-Man (Peter Parker) | Mary Jane Watson-Parker | May Parker","Gregory Wright","Todd McFarlane",,,,,,"David Michelinie | Todd McFarlane","Jim Salicrup","Tom DeFalco",,,"Rick Parker",,,,,,,"David Michelinie"
"The Amazing Spider-Man, Vol. 1",324,"The Assassin Nation Plot, Part Five: Twos Day","Action | Adventure | Super-Heroes","1st Printing","Marvel Comics","Nov 1989",L01,"Nov 1989",1989,"The Assassin Nation Plot",,"Part Five: Twos Day",,,No,,,,1989,,"Spider-Man (Peter Parker) | Captain America (Steve Rogers) | Mary Jane Watson-Parker","Bob Sharen","Todd McFarlane",,,,,,"David Michelinie | Erik Larsen | Al Gordon","Jim Salicrup","Tom DeFalco","Al Gordon",,"Rick Parker",,"Erik Larsen",,,,,"David Michelinie"
"The Amazing Spider-Man, Vol. 1",325,"The Assassin Nation Plot, Part Six: Finale in Red!","Action | Adventure | Super-Heroes","1st Printing","Marvel Comics","Nov 1989",L01,"Nov 1989",1989,"The Assassin Nation Plot",,"Part Six: Finale in Red!",,,No,,,,1989,"Todd McFarlane","Spider-Man (Peter Parker) | Captain America (Steve Rogers) | Mary Jane Watson-Parker","Bob Sharen","Todd McFarlane",,,,,,"David Michelinie | Todd McFarlane","Jim Salicrup","Tom DeFalco",,,"Rick Parker",,,,,,,"David Michelinie"
"The Amazing Spider-Man, Vol. 1",329,"Acts of Vengeance - Power Prey!","Action | Adventure | Super-Heroes","1st Printing","Marvel Comics","Feb 1990",L01,"Feb 1990",1990,,,"Power Prey!",,,No,,,,1990,,"Spider-Man (Peter Parker) | Mary Jane Watson-Parker | Loki (Loki Laufeyson)","Bob Sharen",,,"Al Gordon",,"Erik Larsen",,"David Michelinie | Erik Larsen | Andy Mushynsky","Jim Salicrup","Tom DeFalco","Andy Mushynsky",,"Rick Parker",,"Erik Larsen",,,,,"David Michelinie"
"The Amazing Spider-Man, Vol. 1",344,"Hearts and Powers","Action | Adventure | Super-Heroes","1st Printing","Marvel Comics","Feb 1991","BC RAW 02","Feb 1991",1991,,,"Hearts and Powers",,,No,,,07148602457602,1991,,"Spider-Man (Peter Parker) | Mary Jane Watson-Parker | Venom (Eddie Brock)","Bob Sharen",,,"Randy Emberlin",,"Erik Larsen",,"David Michelinie | Erik Larsen | Randy Emberlin","Jim Salicrup","Tom DeFalco","Randy Emberlin",,"Rick Parker",,"Erik Larsen",,,,,"David Michelinie"
"The Amazing Spider-Man, Vol. 1",345,"Gun from the Heart","Action | Adventure | Super-Heroes","1st Printing","Marvel Comics","Mar 1991",L01,"Mar 1991",1991,,,"Gun from the Heart",,,No,,,0714860245703,1991,,"Willie Lumpkin | Justin Hammer | Boomerang (Frederick Myers)","Bob Sharen",,,"Randy Emberlin",,"Erik Larsen",,"David Michelinie | Mark Bagley | Randy Emberlin","Jim Salicrup","Tom DeFalco","Randy Emberlin",,"Rick Parker",,"Mark Bagley",,,,,"David Michelinie"
"The Amazing Spider-Man, Vol. 1",346,"Elliptical Pursuit!","Action | Adventure | Super-Heroes","1st Printing","Marvel Comics","Apr 1991","BC RAW 02","Apr 1991",1991,,,"Elliptical Pursuit!",,,No,,,,1991,,"Eugene 'Flash' Thompson | Venom (Eddie Brock) | Spider-Man (Peter Parker)","Bob Sharen","Erik Larsen","Bob Sharen","Randy Emberlin",,"Erik Larsen",,"David Michelinie | Erik Larsen | Randy Emberlin","Jim Salicrup","Tom DeFalco","Randy Emberlin",,"Rick Parker",,"Erik Larsen",,,,,"David Michelinie"
"The Amazing Spider-Man, Vol. 1",351,"Acts of Vengeance - The Three Faces of Evil!","Action | Adventure | Super-Heroes","1st Printing","Marvel Comics","Sep 1991",L01,"Sep 1991",1991,,,"The Three Faces of Evil!",,,No,,,,1991,,"Nova (Richard Rider) | Tri-Sentinel | Sentinels","Bob Sharen",,"Bob Sharen","Randy Emberlin",,"Mark Bagley",,"David Michelinie | Mark Bagley | Randy Emberlin","Jim Salicrup | Danny Fingeroth","Tom DeFalco","Randy Emberlin",,"Rick Parker",,"Mark Bagley",,,,,"David Michelinie"
"The Amazing Spider-Man, Vol. 1",361A,"Carnage, Carnage, pt 1","Action | Adventure | Super-Heroes","1st Printing","Marvel Comics","Apr 1992","BC GRADED 02","Apr 1992",1992,Carnage,,"Carnage, pt 1",A,,Minor,,"1: Carnage",,1992,,"Spider-Man (Peter Parker) | Mary Jane Watson-Parker | May Parker","Bob Sharen","Mark Bagley","Bob Sharen","Randy Emberlin",,"Mark Bagley",,"David Michelinie | Mark Bagley | Randy Emberlin","Danny Fingeroth","Tom DeFalco","Randy Emberlin",,"Joe Rosen",,"Mark Bagley",,,,,"David Michelinie"
