Series,Issue,"Full Title",Genre,"Variant Description",Publisher,"Cover Date","Storage Box","Release Date","Release Year","Story Arc",Subtitle,Title,Variant,"Cover Price",Key,"Key Category","Key Reason",Barcode,"Cover Year",Artist,Characters,Colorist,"Cover Artist","Cover Colorist","Cover Inker","Cover Painter","Cover Penciller","Cover Separator",Creators,Editor,"Editor in Chief",Inker,Layouts,Letterer,Painter,Penciller,Plotter,Scripter,Separator,Translator,Writer
"Operation Knightstrike",2,,Adventure,"Richard Horie Cover","Image Comics","Jun 1995",L15,"Jun 1995",1995,,,,,,No,,,,1995,,"Duke (Conrad S. Hauser) | Chapel (Bruce Stinson) | Battlestone (John Stone)","Gloria Vasquez","Richard Horie",,,,,,"Brian Witten | Richard Horie | Jaime Mendoza",,,"Jaime Mendoza",,"Kurt Hathaway",,"Richard Horie",,,"Extreme Color",,"Brian Witten"
"The Original Ghost Rider",3,"Die, Die, My Daughter!",Adventure,"1st Printing","Marvel Comics","Sep 1992",L05a,"Sep 1992",1992,,,"Die, Die, My Daughter!",,1.75,No,,,,1992,,"Ghost Rider (2099) (Noble Kane)",,,,,,,,,,,,,,,,,,,,
"The Original Ghost Rider",6,"The Coming of.. Witch-Woman!",Adventure,"1st Printing","Marvel Comics","Dec 1992",L05a,"Dec 1992",1992,,,"The Coming of.. Witch-Woman!",,,No,,,,1992,,,,,,,,,,,,,,,,,,,,,,
"The Original Ghost Rider",7,"Season of the Witch-Woman",Adventure,"1st Printing","Marvel Comics","Jan 1993",L05a,"Jan 1993",1993,,,"Season of the Witch-Woman",,,No,,,,1993,,"Ghost Rider (Johnathon 'Johnny' Blaze)","Glynis Oliver",,,,,,,"Gary Friedrich | Tom Sutton | Syd Shores",,,"Syd Shores",,"John Costanza",,"Tom Sutton",,,,,"Gary Friedrich"
"The Original Ghost Rider",8,"A Woman Possessed!",Adventure,"1st Printing","Marvel Comics",1993,L05a,1993,1993,,,"A Woman Possessed!",,1.75,No,,,,1993,,,,,,,,,,,,,,,,,,,,,,
"The Original Ghost Rider Rides Again",3,"Temptations!; Tears of a Clown",Adventure,"First Edition","Marvel Comics","Sep 1991",L05a,"Sep 1991",1991,,,"Temptations!; Tears of a Clown",,1.50,No,,,,1991,,"Angel (Warren Worthington III) | Ghost Rider (Johnathon 'Johnny' Blaze) | Human Cannonball (Jack Pulver)","Bob Sharen",,,,,"Bob Budiansky",,"Roger Stern | Bob Budiansky | Dave Simons","Tom DeFalco","Jim Shooter","Dave Simons",,"Rick Parker | Diana Albers",,"Bob Budiansky",,,,,"Roger Stern"
"The Original Ghost Rider Rides Again",6,"The Empire of Sleep / Shades of Gray",Adventure,,"Marvel Comics","Dec 1991",L05a,"Dec 1991",1991,,,"The Empire of Sleep / Shades of Gray",,1.50,No,,,,1991,,"Ghost Rider (Johnathon 'Johnny' Blaze) | Zarathos | Freakmaster","Bob Sharen","Bob Budiansky",,,,"Bob Budiansky",,"Bob Budiansky | J.M. DeMatteis | Kevin Dzuban",,,"Kevin Dzuban",,"Joe Rosen | Diana Albers",,"Bob Budiansky",,,,,"Bob Budiansky | J.M. DeMatteis"
"The Original Ghost Rider Rides Again",7,"Stained Glass & Shadows / The End of the Ghost Rider",Adventure,,"Marvel Comics","Jan 1992",L05a,"Jan 1992",1992,,,"Stained Glass & Shadows / The End of the Ghost Rider",,1.50,No,,,,1992,,"Ghost Rider (Johnathon 'Johnny' Blaze) | Roxanne Simpson | Zarathos","Bob Sharen","Bob Budiansky",,,,"Bob Budiansky",,"Bob Budiansky | J.M. DeMatteis | Danny Bulanadi",,,"Danny Bulanadi | Kevin Dzuban",,"Michael Higgins | Diana Albers",,"Bob Budiansky",,,,,"Bob Budiansky | J.M. DeMatteis"
"Original Sin",5.4,"Original Sin - Thor & Loki: The Tenth Realm, Part Four","Action | Adventure | Fantasy | Super-Heroes",,"Marvel Comics","Oct 2014",L05a,"Aug 27, 2014",2014,"Thor & Loki: The Tenth Realm",,"Part Four",.4,3.99,No,,,75960608108000411,2014,"Simone Bianchi | Lee Garbett","Thor (Thor Odinson) | Loki (Loki Laufeyson) | Odin (Odin Borson)","Nolan Woodard | Adriano Dall'Alpi",,"Simone Bianchi",,,,,"Jason Aaron | Al Ewing | Simone Bianchi","Wil Moss | Jon Moisan","Axel Alonso","Riccardo Pieruccini",,"Joe Sabino",,,,,,,"Jason Aaron | Al Ewing"
"Out There",9,"The Road To El Dorado, Chapter 3: Twisting Roads","Action | Adventure | Horror","1st Printing","DC Comics","May 2002",L13,"May 2002",2002,"The Road To El Dorado",,"Chapter 3: Twisting Roads",,,No,,,76194122773300911,2002,,"Megan | Mark Wexler | Zach Mullins","Studio F",,"Edgar Delgado","Sandra Hope",,"Humberto Ramos",,"Brian Augustyn | Humberto Ramos | Sandra Hope","Scott Dunbier",,"Sandra Hope",,"Sergio Garcia",,"Humberto Ramos",,,,,"Brian Augustyn"
